type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-05-07 18:33:46,-22.77568457,-45.37718247,8,4616.000,,105.490,146,12,22,,
T,2019-05-07 18:33:47,-22.77646376,-45.37660296,8,4608.000,,105.010,146,13,23,,
T,2019-05-07 18:33:48,-22.77724520,-45.37603332,8,4602.000,,104.710,146,12,22,,
T,2019-05-07 18:33:49,-22.77802956,-45.37548079,9,4595.000,,104.280,146,13,22,,
T,2019-05-07 18:33:50,-22.77881033,-45.37491547,8,4590.000,,104.160,147,12,21,,
T,2019-05-07 18:33:51,-22.77959483,-45.37436646,8,4584.000,,103.760,147,13,22,,
T,2019-05-07 18:33:52,-22.78037862,-45.37381781,9,4578.000,,103.420,147,14,23,,
T,2019-05-07 18:33:53,-22.78116472,-45.37327100,11,4573.000,,103.140,147,13,22,,
T,2019-05-07 18:33:54,-22.78195396,-45.37274198,11,4567.000,,102.880,148,13,22,,
T,2019-05-07 18:33:55,-22.78273836,-45.37220646,12,4561.000,,102.870,148,14,22,,
T,2019-05-07 18:33:56,-22.78352565,-45.37168869,9,4554.000,,102.280,148,11,20,,
T,2019-05-07 18:33:57,-22.78429612,-45.37117370,9,4549.000,,101.960,148,13,23,,
T,2019-05-07 18:33:58,-22.78507519,-45.37065207,10,4543.000,,101.730,148,12,22,,
T,2019-05-07 18:33:59,-22.78586048,-45.37012966,10,4536.000,,101.360,148,12,22,,
T,2019-05-07 18:34:00,-22.78665181,-45.36962059,10,4529.000,,101.290,149,10,20,,
T,2019-05-07 18:34:01,-22.78741895,-45.36910649,9,4522.000,,101.100,149,13,23,,
T,2019-05-07 18:34:02,-22.78820466,-45.36860052,10,4513.000,,100.680,149,13,23,,
T,2019-05-07 18:34:03,-22.78898639,-45.36810094,11,4504.000,,100.950,149,11,21,,
T,2019-05-07 18:34:04,-22.78977260,-45.36761127,10,4495.000,,101.000,150,12,22,,
T,2019-05-07 18:34:05,-22.79056030,-45.36711699,12,4486.000,,100.990,150,12,22,,
T,2019-05-07 18:34:06,-22.79134485,-45.36663718,9,4474.000,,100.920,151,11,21,,
T,2019-05-07 18:34:07,-22.79214926,-45.36618993,9,4464.000,,101.520,151,12,21,,
T,2019-05-07 18:34:08,-22.79294683,-45.36570370,8,4452.000,,101.760,152,13,22,,
T,2019-05-07 18:34:09,-22.79376259,-45.36523938,8,4440.000,,101.810,152,13,22,,
T,2019-05-07 18:34:10,-22.79457506,-45.36477677,9,4427.000,,101.810,152,13,22,,
T,2019-05-07 18:34:11,-22.79537728,-45.36429685,8,4412.000,,102.320,153,12,20,,
T,2019-05-07 18:34:12,-22.79623756,-45.36387426,8,4400.000,,102.960,153,14,23,,
T,2019-05-07 18:34:13,-22.79708767,-45.36344059,9,4389.000,,103.250,153,12,22,,
T,2019-05-07 18:34:14,-22.79791824,-45.36298530,9,4377.000,,103.240,153,12,22,,
T,2019-05-07 18:34:15,-22.79874951,-45.36252854,8,4365.000,,103.640,153,12,22,,
T,2019-05-07 18:34:16,-22.79958356,-45.36205495,9,4353.000,,103.910,153,12,22,,
T,2019-05-07 18:34:17,-22.80041867,-45.36158009,9,4342.000,,103.980,153,13,23,,
T,2019-05-07 18:34:18,-22.80125814,-45.36111959,9,4330.000,,104.130,154,12,22,,
T,2019-05-07 18:34:19,-22.80212200,-45.36070171,9,4319.000,,104.200,154,11,21,,
T,2019-05-07 18:34:20,-22.80297715,-45.36028268,9,4308.000,,104.270,154,13,23,,
T,2019-05-07 18:34:21,-22.80383638,-45.35985426,9,4298.000,,104.210,154,13,23,,
T,2019-05-07 18:34:22,-22.80468477,-45.35941767,9,4289.000,,104.400,155,13,23,,
T,2019-05-07 18:34:23,-22.80553899,-45.35898565,9,4279.000,,104.380,155,12,22,,
T,2019-05-07 18:34:24,-22.80638969,-45.35853898,9,4270.000,,104.350,155,12,23,,
T,2019-05-07 18:34:25,-22.80725590,-45.35812018,10,4261.000,,104.320,155,11,22,,
T,2019-05-07 18:34:26,-22.80810319,-45.35769899,10,4253.000,,104.290,155,11,22,,
T,2019-05-07 18:34:27,-22.80895832,-45.35728533,10,4244.000,,104.310,155,12,23,,
T,2019-05-07 18:34:28,-22.80980621,-45.35686496,9,4233.000,,104.390,156,12,23,,
T,2019-05-07 18:34:29,-22.81065576,-45.35644275,9,4223.000,,104.430,156,12,22,,
T,2019-05-07 18:34:30,-22.81150877,-45.35603464,9,4212.000,,104.420,156,12,22,,
T,2019-05-07 18:34:31,-22.81236047,-45.35561382,8,4203.000,,104.450,156,12,23,,
T,2019-05-07 18:34:32,-22.81322560,-45.35519712,8,4193.000,,104.450,156,10,20,,
T,2019-05-07 18:34:33,-22.81408895,-45.35478656,8,4183.000,,104.480,156,12,23,,
T,2019-05-07 18:34:34,-22.81494866,-45.35437398,9,4174.000,,104.220,156,12,22,,
T,2019-05-07 18:34:35,-22.81581524,-45.35396488,8,4166.000,,104.260,157,11,22,,
T,2019-05-07 18:34:36,-22.81667941,-45.35357695,8,4156.000,,104.020,158,12,23,,
T,2019-05-07 18:34:37,-22.81754990,-45.35320076,6,4148.000,,103.810,159,10,21,,
T,2019-05-07 18:34:38,-22.81842878,-45.35283141,6,4140.000,,103.680,159,13,23,,
T,2019-05-07 18:34:39,-22.81930457,-45.35248125,6,4133.000,,103.540,160,11,21,,
T,2019-05-07 18:34:40,-22.82019336,-45.35213513,6,4124.000,,103.450,161,11,21,,
T,2019-05-07 18:34:41,-22.82107177,-45.35180950,6,4115.000,,103.240,162,13,23,,
T,2019-05-07 18:34:42,-22.82195438,-45.35149921,6,4106.000,,103.180,162,12,22,,
T,2019-05-07 18:34:43,-22.82283460,-45.35119649,6,4095.000,,103.270,163,13,22,,
T,2019-05-07 18:34:44,-22.82372710,-45.35090684,6,4085.000,,103.340,163,13,23,,
T,2019-05-07 18:34:45,-22.82462206,-45.35062406,6,4074.000,,103.480,164,13,23,,
T,2019-05-07 18:34:46,-22.82551325,-45.35034863,6,4064.000,,103.650,164,13,22,,
T,2019-05-07 18:34:47,-22.82642032,-45.35008916,6,4053.000,,103.850,165,14,23,,
T,2019-05-07 18:34:48,-22.82732947,-45.34982976,5,4043.000,,104.170,166,12,20,,
T,2019-05-07 18:34:49,-22.82823980,-45.34958829,5,4032.000,,104.470,166,14,23,,
T,2019-05-07 18:34:50,-22.82915560,-45.34936078,5,4021.000,,104.660,167,13,22,,
T,2019-05-07 18:34:51,-22.83007078,-45.34913526,5,4010.000,,104.950,168,13,22,,
T,2019-05-07 18:34:52,-22.83099576,-45.34891573,6,3999.000,,104.940,168,12,22,,
T,2019-05-07 18:34:53,-22.83192579,-45.34871592,5,3987.000,,105.110,169,13,23,,
T,2019-05-07 18:34:54,-22.83285357,-45.34851858,5,3977.000,,105.080,169,8,18,,
T,2019-05-07 18:34:55,-22.83381184,-45.34836991,6,3964.000,,105.740,171,13,23,,
T,2019-05-07 18:34:56,-22.83475967,-45.34821326,6,3952.000,,106.210,172,13,23,,
T,2019-05-07 18:34:57,-22.83571289,-45.34806006,6,3939.000,,106.150,173,12,21,,
T,2019-05-07 18:34:58,-22.83665835,-45.34796030,6,3928.000,,106.730,174,14,23,,
T,2019-05-07 18:34:59,-22.83761795,-45.34785524,6,3917.000,,106.630,175,13,22,,
T,2019-05-07 18:35:00,-22.83857834,-45.34776742,6,3905.000,,106.610,176,12,23,,
T,2019-05-07 18:35:01,-22.83954145,-45.34771695,6,3895.000,,107.280,178,10,21,,
T,2019-05-07 18:35:02,-22.84050223,-45.34767840,6,3885.000,,107.310,179,11,22,,
T,2019-05-07 18:35:03,-22.84147045,-45.34765695,8,3875.000,,107.300,179,11,22,,
T,2019-05-07 18:35:04,-22.84244338,-45.34769328,5,3862.000,,107.380,181,12,23,,
T,2019-05-07 18:35:05,-22.84341225,-45.34771370,6,3852.000,,107.370,181,13,23,,
T,2019-05-07 18:35:06,-22.84438925,-45.34779362,5,3841.000,,107.410,184,13,22,,
T,2019-05-07 18:35:07,-22.84535671,-45.34785793,6,3830.000,,107.400,184,11,22,,
T,2019-05-07 18:35:08,-22.84632251,-45.34800135,5,3822.000,,107.540,187,10,21,,
T,2019-05-07 18:35:09,-22.84728079,-45.34814196,5,3812.000,,107.420,188,11,23,,
T,2019-05-07 18:35:10,-22.84823023,-45.34831982,5,3801.000,,107.420,190,11,23,,
T,2019-05-07 18:35:11,-22.84918589,-45.34849536,8,3792.000,,107.410,190,11,23,,
T,2019-05-07 18:35:12,-22.85011711,-45.34874384,11,3782.000,,107.200,193,10,22,,
T,2019-05-07 18:35:13,-22.85105816,-45.34899819,11,3772.000,,107.260,194,11,22,,
T,2019-05-07 18:35:14,-22.85199072,-45.34926507,11,3761.000,,107.280,195,10,22,,
T,2019-05-07 18:35:15,-22.85292388,-45.34954334,12,3752.000,,107.270,195,10,22,,
T,2019-05-07 18:35:16,-22.85386443,-45.34984143,12,3744.000,,108.780,196,9,21,,
T,2019-05-07 18:35:17,-22.85470742,-45.35030291,12,3737.000,,106.660,201,11,23,,
T,2019-05-07 18:35:18,-22.85560861,-45.35069889,12,3733.000,,107.170,203,10,22,,
T,2019-05-07 18:35:19,-22.85650140,-45.35110021,13,3728.000,,107.160,203,10,22,,
T,2019-05-07 18:35:20,-22.85739503,-45.35149876,14,3727.000,,107.500,203,10,23,,
T,2019-05-07 18:35:21,-22.85827979,-45.35191427,15,3729.000,,107.790,203,10,23,,
T,2019-05-07 18:35:22,-22.85914401,-45.35239696,17,3729.000,,108.140,205,12,23,,
T,2019-05-07 18:35:23,-22.85979655,-45.35309106,14,3723.000,,105.780,210,12,23,,
T,2019-05-07 18:35:24,-22.86046709,-45.35384070,12,3718.000,,105.000,214,15,23,,
T,2019-05-07 18:35:25,-22.86121104,-45.35447946,12,3717.000,,104.770,215,16,23,,
T,2019-05-07 18:35:26,-22.86186666,-45.35515759,12,3715.000,,103.430,218,16,23,,
T,2019-05-07 18:35:27,-22.86249440,-45.35587576,12,3710.000,,102.310,221,17,23,,
T,2019-05-07 18:35:28,-22.86307611,-45.35661915,12,3708.000,,101.170,224,17,23,,
T,2019-05-07 18:35:29,-22.86364412,-45.35742396,6,3707.000,,101.810,227,17,22,,
T,2019-05-07 18:35:30,-22.86418457,-45.35823265,8,3704.000,,101.380,230,17,22,,
T,2019-05-07 18:35:31,-22.86473925,-45.35903279,10,3701.000,,100.940,231,17,22,,
T,2019-05-07 18:35:32,-22.86516458,-45.35999877,10,3691.000,,103.030,235,17,22,,
T,2019-05-07 18:35:33,-22.86565167,-45.36088881,12,3685.000,,104.910,236,16,22,,
T,2019-05-07 18:35:34,-22.86605536,-45.36187054,13,3681.000,,106.140,239,16,22,,
T,2019-05-07 18:35:35,-22.86649549,-45.36277813,14,3679.000,,105.810,240,16,22,,
T,2019-05-07 18:35:36,-22.86691779,-45.36371276,16,3677.000,,106.070,242,16,22,,
T,2019-05-07 18:35:37,-22.86724759,-45.36465517,12,3662.000,,103.580,245,16,22,,
T,2019-05-07 18:35:38,-22.86762119,-45.36558988,11,3650.000,,104.070,246,16,22,,
T,2019-05-07 18:35:39,-22.86799579,-45.36654542,11,3637.000,,104.270,247,16,22,,
T,2019-05-07 18:35:40,-22.86833789,-45.36749585,10,3626.000,,104.280,249,16,22,,
T,2019-05-07 18:35:41,-22.86864111,-45.36844617,10,3617.000,,104.360,250,16,22,,
T,2019-05-07 18:35:42,-22.86891183,-45.36941550,10,3607.000,,104.420,252,16,22,,
T,2019-05-07 18:35:43,-22.86917079,-45.37039677,9,3598.000,,104.380,254,15,22,,
T,2019-05-07 18:35:44,-22.86939946,-45.37138523,9,3589.000,,104.430,256,15,22,,
T,2019-05-07 18:35:45,-22.86961407,-45.37237426,11,3579.000,,104.510,257,15,22,,
T,2019-05-07 18:35:46,-22.86972169,-45.37337677,9,3569.000,,104.700,261,15,22,,
T,2019-05-07 18:35:47,-22.86985179,-45.37440016,10,3557.000,,105.410,262,15,22,,
T,2019-05-07 18:35:48,-22.86995810,-45.37543701,13,3546.000,,106.230,263,16,22,,
T,2019-05-07 18:35:49,-22.87001994,-45.37645929,16,3537.000,,105.880,264,16,22,,
T,2019-05-07 18:35:50,-22.87004111,-45.37746025,20,3530.000,,104.590,266,16,22,,
T,2019-05-07 18:35:51,-22.87003844,-45.37845956,19,3517.000,,103.530,268,16,22,,
T,2019-05-07 18:35:52,-22.87003121,-45.37946776,24,3509.000,,103.640,269,16,22,,
T,2019-05-07 18:35:53,-22.87004567,-45.38049362,29,3495.000,,103.820,269,16,22,,
T,2019-05-07 18:35:54,-22.86967208,-45.38158677,18,3469.000,,105.770,275,16,22,,
T,2019-05-07 18:35:55,-22.86944539,-45.38264033,15,3458.000,,106.450,277,16,22,,
T,2019-05-07 18:35:56,-22.86919315,-45.38367132,12,3449.000,,106.370,279,15,22,,
T,2019-05-07 18:35:57,-22.86902144,-45.38469002,10,3437.000,,106.120,280,15,22,,
T,2019-05-07 18:35:58,-22.86883277,-45.38570886,10,3426.000,,105.930,280,14,22,,
T,2019-05-07 18:35:59,-22.86860061,-45.38672462,9,3413.000,,106.910,282,14,22,,
T,2019-05-07 18:36:00,-22.86834834,-45.38774313,8,3399.000,,107.170,283,14,22,,
T,2019-05-07 18:36:01,-22.86809245,-45.38875783,6,3388.000,,107.230,284,15,22,,
T,2019-05-07 18:36:02,-22.86783946,-45.38977366,6,3376.000,,107.600,285,15,22,,
T,2019-05-07 18:36:03,-22.86757210,-45.39078402,5,3361.000,,107.880,286,15,22,,
T,2019-05-07 18:36:04,-22.86729739,-45.39179713,5,3350.000,,108.150,286,16,22,,
T,2019-05-07 18:36:05,-22.86699413,-45.39281113,4,3340.000,,108.580,287,16,22,,
T,2019-05-07 18:36:06,-22.86669792,-45.39381421,4,3328.000,,108.800,288,16,22,,
T,2019-05-07 18:36:07,-22.86638199,-45.39481393,4,3318.000,,108.920,288,16,22,,
T,2019-05-07 18:36:08,-22.86606051,-45.39581669,4,3308.000,,109.080,289,16,22,,
T,2019-05-07 18:36:09,-22.86573131,-45.39682335,4,3299.000,,109.530,289,16,22,,
T,2019-05-07 18:36:10,-22.86540129,-45.39782309,4,3288.000,,109.370,289,16,22,,
T,2019-05-07 18:36:11,-22.86506200,-45.39882632,4,3279.000,,109.900,290,16,22,,
T,2019-05-07 18:36:12,-22.86472679,-45.39983452,3,3268.000,,110.010,290,16,22,,
T,2019-05-07 18:36:13,-22.86438013,-45.40084373,3,3258.000,,110.260,290,16,22,,
T,2019-05-07 18:36:14,-22.86403735,-45.40184465,3,3248.000,,110.290,290,16,22,,
T,2019-05-07 18:36:15,-22.86369620,-45.40285123,3,3238.000,,110.450,290,16,22,,
T,2019-05-07 18:36:16,-22.86334628,-45.40386653,3,3227.000,,110.530,290,16,22,,
T,2019-05-07 18:36:17,-22.86299172,-45.40487792,3,3219.000,,110.660,290,16,22,,
T,2019-05-07 18:36:18,-22.86264188,-45.40589640,3,3209.000,,110.740,290,16,22,,
T,2019-05-07 18:36:19,-22.86229929,-45.40689923,4,3201.000,,110.700,290,16,22,,
T,2019-05-07 18:36:20,-22.86194852,-45.40791165,4,3194.000,,110.550,290,16,22,,
T,2019-05-07 18:36:21,-22.86160298,-45.40891477,4,3189.000,,110.270,290,16,22,,
T,2019-05-07 18:36:22,-22.86125076,-45.40992028,4,3187.000,,109.890,291,16,22,,
T,2019-05-07 18:36:23,-22.86089689,-45.41092578,4,3186.000,,109.440,291,16,22,,
T,2019-05-07 18:36:24,-22.86054199,-45.41191055,4,3185.000,,108.970,291,16,22,,
T,2019-05-07 18:36:25,-22.86018626,-45.41289334,4,3185.000,,108.430,291,15,22,,
T,2019-05-07 18:36:26,-22.85982592,-45.41387694,4,3185.000,,107.900,292,15,22,,
T,2019-05-07 18:36:27,-22.85946486,-45.41484328,4,3185.000,,107.200,292,16,22,,
T,2019-05-07 18:36:28,-22.85910302,-45.41580244,4,3184.000,,106.500,292,16,22,,
T,2019-05-07 18:36:29,-22.85872899,-45.41675871,4,3185.000,,105.840,293,16,22,,
T,2019-05-07 18:36:30,-22.85833040,-45.41768703,4,3183.000,,105.230,294,16,22,,
T,2019-05-07 18:36:31,-22.85792706,-45.41860776,10,3184.000,,104.740,295,16,22,,
T,2019-05-07 18:36:32,-22.85749713,-45.41951862,10,3183.000,,104.100,296,16,22,,
T,2019-05-07 18:36:33,-22.85707109,-45.42041604,10,3184.000,,103.440,297,16,22,,
T,2019-05-07 18:36:34,-22.85665137,-45.42129921,10,3184.000,,102.420,298,16,22,,
T,2019-05-07 18:36:35,-22.85620209,-45.42218039,11,3184.000,,102.250,298,15,23,,
T,2019-05-07 18:36:36,-22.85575003,-45.42302329,11,3183.000,,101.120,299,15,23,,
T,2019-05-07 18:36:37,-22.85527137,-45.42386300,11,3185.000,,100.980,300,15,23,,
T,2019-05-07 18:36:38,-22.85482771,-45.42470338,10,3185.000,,100.230,301,14,23,,
T,2019-05-07 18:36:39,-22.85434786,-45.42552600,10,3186.000,,99.990,302,14,23,,
T,2019-05-07 18:36:40,-22.85384887,-45.42634478,10,3186.000,,99.710,303,14,23,,
T,2019-05-07 18:36:41,-22.85335568,-45.42715065,10,3184.000,,99.520,304,15,23,,
T,2019-05-07 18:36:42,-22.85284626,-45.42794158,10,3182.000,,99.380,305,15,23,,
T,2019-05-07 18:36:43,-22.85233353,-45.42873064,10,3181.000,,98.900,305,15,23,,
T,2019-05-07 18:36:44,-22.85179156,-45.42948854,11,3180.000,,98.320,307,16,23,,
T,2019-05-07 18:36:45,-22.85124468,-45.43023614,11,3181.000,,97.940,308,16,23,,
T,2019-05-07 18:36:46,-22.85067739,-45.43097033,10,3181.000,,97.890,309,16,23,,
T,2019-05-07 18:36:47,-22.85010877,-45.43169404,10,3181.000,,97.310,310,16,23,,
T,2019-05-07 18:36:48,-22.84951952,-45.43240565,10,3182.000,,96.820,311,16,23,,
T,2019-05-07 18:36:49,-22.84894033,-45.43310375,10,3183.000,,96.190,312,16,23,,
T,2019-05-07 18:36:50,-22.84835141,-45.43377622,10,3183.000,,96.000,313,15,23,,
T,2019-05-07 18:36:51,-22.84774200,-45.43444437,10,3184.000,,95.640,314,15,23,,
T,2019-05-07 18:36:52,-22.84713356,-45.43509368,10,3185.000,,95.220,315,15,23,,
T,2019-05-07 18:36:53,-22.84652089,-45.43573596,10,3184.000,,94.470,316,14,23,,
T,2019-05-07 18:36:54,-22.84590056,-45.43635936,10,3186.000,,94.100,317,14,23,,
T,2019-05-07 18:36:55,-22.84527352,-45.43696188,10,3186.000,,93.640,318,14,23,,
T,2019-05-07 18:36:56,-22.84463310,-45.43755379,10,3188.000,,93.150,320,13,23,,
T,2019-05-07 18:36:57,-22.84398844,-45.43813262,10,3189.000,,92.960,320,13,23,,
T,2019-05-07 18:36:58,-22.84334668,-45.43870296,11,3190.000,,92.570,320,13,23,,
T,2019-05-07 18:36:59,-22.84265386,-45.43919732,11,3191.000,,92.330,324,13,23,,
T,2019-05-07 18:37:00,-22.84197164,-45.43969426,11,3192.000,,92.070,326,13,23,,
T,2019-05-07 18:37:01,-22.84127165,-45.44016600,10,3193.000,,91.670,328,13,23,,
T,2019-05-07 18:37:02,-22.84055464,-45.44062082,10,3192.000,,91.420,329,13,23,,
T,2019-05-07 18:37:03,-22.83983783,-45.44107380,11,3190.000,,91.950,329,14,23,,
T,2019-05-07 18:37:04,-22.83911888,-45.44151093,11,3191.000,,91.690,331,15,23,,
T,2019-05-07 18:37:05,-22.83839280,-45.44190291,11,3190.000,,91.480,332,15,22,,
T,2019-05-07 18:37:06,-22.83764140,-45.44223829,11,3189.000,,90.960,335,15,22,,
T,2019-05-07 18:37:07,-22.83688526,-45.44259099,10,3189.000,,90.890,336,16,22,,
T,2019-05-07 18:37:08,-22.83612111,-45.44292505,10,3188.000,,90.910,338,16,22,,
T,2019-05-07 18:37:09,-22.83534998,-45.44323625,10,3186.000,,91.090,339,16,22,,
T,2019-05-07 18:37:10,-22.83457259,-45.44354114,10,3185.000,,91.460,340,15,22,,
T,2019-05-07 18:37:11,-22.83378873,-45.44384443,10,3185.000,,91.900,340,15,22,,
T,2019-05-07 18:37:12,-22.83300186,-45.44415380,10,3185.000,,92.390,340,14,22,,
T,2019-05-07 18:37:13,-22.83220210,-45.44445674,11,3185.000,,93.130,340,13,22,,
T,2019-05-07 18:37:14,-22.83140008,-45.44471873,11,3184.000,,94.020,341,15,22,,
T,2019-05-07 18:37:15,-22.83059816,-45.44501882,10,3184.000,,94.520,341,15,22,,
T,2019-05-07 18:37:16,-22.82978708,-45.44531798,10,3184.000,,94.970,341,15,22,,
T,2019-05-07 18:37:17,-22.82896665,-45.44562237,11,3183.000,,95.300,341,15,22,,
T,2019-05-07 18:37:18,-22.82812688,-45.44591378,11,3183.000,,95.940,341,15,22,,
T,2019-05-07 18:37:19,-22.82731096,-45.44621691,11,3183.000,,95.800,342,15,22,,
T,2019-05-07 18:37:20,-22.82645719,-45.44651170,11,3184.000,,96.640,342,14,22,,
T,2019-05-07 18:37:21,-22.82560945,-45.44678441,11,3185.000,,97.030,342,14,22,,
T,2019-05-07 18:37:22,-22.82478516,-45.44706248,12,3186.000,,96.930,342,14,22,,
T,2019-05-07 18:37:23,-22.82395069,-45.44733590,12,3185.000,,97.130,343,14,22,,
T,2019-05-07 18:37:24,-22.82308658,-45.44762104,12,3186.000,,97.640,343,13,22,,
T,2019-05-07 18:37:25,-22.82225437,-45.44792344,13,3188.000,,97.580,343,13,22,,
T,2019-05-07 18:37:26,-22.82141118,-45.44819273,13,3188.000,,97.510,343,15,22,,
T,2019-05-07 18:37:27,-22.82056503,-45.44846778,13,3190.000,,97.660,343,15,22,,
T,2019-05-07 18:37:28,-22.81974238,-45.44873465,13,3189.000,,97.290,343,16,22,,
T,2019-05-07 18:37:29,-22.81887040,-45.44898220,13,3190.000,,97.810,344,17,22,,
T,2019-05-07 18:37:30,-22.81802645,-45.44926962,12,3189.000,,97.660,344,16,22,,
T,2019-05-07 18:37:31,-22.81718720,-45.44955477,12,3189.000,,97.560,344,17,22,,
T,2019-05-07 18:37:32,-22.81635704,-45.44980586,12,3190.000,,97.560,344,16,22,,
T,2019-05-07 18:37:33,-22.81549281,-45.45007351,11,3190.000,,97.680,344,16,22,,
T,2019-05-07 18:37:34,-22.81463607,-45.45032682,11,3190.000,,97.680,345,16,22,,
T,2019-05-07 18:37:35,-22.81379076,-45.45057231,11,3191.000,,97.480,345,16,22,,
T,2019-05-07 18:37:36,-22.81293772,-45.45083340,11,3191.000,,97.560,345,16,22,,
T,2019-05-07 18:37:37,-22.81209480,-45.45109504,11,3190.000,,97.420,345,16,22,,
T,2019-05-07 18:37:38,-22.81125197,-45.45132675,11,3189.000,,97.440,345,16,22,,
T,2019-05-07 18:37:39,-22.81040109,-45.45157002,11,3189.000,,97.470,345,16,22,,
T,2019-05-07 18:37:40,-22.80955356,-45.45180378,11,3190.000,,97.280,345,16,22,,
T,2019-05-07 18:37:41,-22.80870129,-45.45204127,11,3190.000,,97.260,346,16,22,,
T,2019-05-07 18:37:42,-22.80784915,-45.45226231,12,3189.000,,97.260,346,16,22,,
T,2019-05-07 18:37:43,-22.80700159,-45.45250827,12,3189.000,,97.200,346,16,22,,
T,2019-05-07 18:37:44,-22.80615290,-45.45275545,12,3191.000,,97.190,346,15,21,,
T,2019-05-07 18:37:45,-22.80530863,-45.45298764,12,3191.000,,97.170,346,17,22,,
T,2019-05-07 18:37:46,-22.80447893,-45.45319893,12,3190.000,,96.890,346,17,22,,
T,2019-05-07 18:37:47,-22.80362857,-45.45341992,12,3190.000,,97.170,346,17,22,,
T,2019-05-07 18:37:48,-22.80278635,-45.45366730,12,3192.000,,97.180,346,18,22,,
T,2019-05-07 18:37:49,-22.80193083,-45.45389307,12,3191.000,,97.250,346,18,22,,
T,2019-05-07 18:37:50,-22.80108097,-45.45412406,12,3192.000,,97.310,346,18,22,,
T,2019-05-07 18:37:51,-22.80023574,-45.45436794,11,3194.000,,97.250,346,18,22,,
T,2019-05-07 18:37:52,-22.79937623,-45.45460202,11,3195.000,,97.340,346,18,22,,
T,2019-05-07 18:37:53,-22.79853204,-45.45483206,11,3195.000,,97.240,346,18,22,,
T,2019-05-07 18:37:54,-22.79767803,-45.45506015,12,3194.000,,97.390,346,18,22,,
T,2019-05-07 18:37:55,-22.79681708,-45.45528689,11,3195.000,,97.570,346,19,22,,
T,2019-05-07 18:37:56,-22.79595768,-45.45553728,11,3194.000,,97.370,346,19,22,,
T,2019-05-07 18:37:57,-22.79511176,-45.45577384,11,3193.000,,97.410,345,19,22,,
T,2019-05-07 18:37:58,-22.79426389,-45.45600677,11,3192.000,,97.520,345,19,22,,
T,2019-05-07 18:37:59,-22.79341834,-45.45625971,10,3190.000,,97.430,345,20,22,,
T,2019-05-07 18:38:00,-22.79257068,-45.45650714,11,3190.000,,97.540,345,19,22,,
T,2019-05-07 18:38:01,-22.79172432,-45.45675656,11,3190.000,,97.470,345,18,22,,
T,2019-05-07 18:38:02,-22.79088701,-45.45700717,11,3189.000,,97.320,344,17,22,,
T,2019-05-07 18:38:03,-22.79003887,-45.45726626,10,3190.000,,97.320,344,18,22,,
T,2019-05-07 18:38:04,-22.78920421,-45.45754266,10,3191.000,,97.160,344,17,22,,
T,2019-05-07 18:38:05,-22.78835783,-45.45781452,10,3191.000,,97.200,343,16,22,,
T,2019-05-07 18:38:06,-22.78752460,-45.45809536,10,3192.000,,97.050,343,16,22,,
T,2019-05-07 18:38:07,-22.78669569,-45.45838140,10,3192.000,,96.940,343,16,22,,
T,2019-05-07 18:38:08,-22.78586047,-45.45867202,10,3193.000,,97.000,343,15,22,,
T,2019-05-07 18:38:09,-22.78502812,-45.45895944,11,3194.000,,96.940,342,16,22,,
T,2019-05-07 18:38:10,-22.78420623,-45.45926269,11,3195.000,,96.750,342,14,22,,
T,2019-05-07 18:38:11,-22.78337902,-45.45955063,10,3195.000,,96.550,342,11,22,,
T,2019-05-07 18:38:12,-22.78253856,-45.45984350,11,3196.000,,96.530,342,10,22,,
T,2019-05-07 18:38:13,-22.78172118,-45.46014263,11,3196.000,,96.350,342,10,22,,
T,2019-05-07 18:38:14,-22.78088768,-45.46044097,10,3197.000,,96.350,341,10,22,,
T,2019-05-07 18:38:15,-22.78007675,-45.46074772,10,3198.000,,95.810,341,10,22,,
T,2019-05-07 18:38:16,-22.77925805,-45.46105799,10,3198.000,,95.720,341,15,21,,
T,2019-05-07 18:38:17,-22.77844433,-45.46135562,10,3199.000,,95.560,340,15,22,,
T,2019-05-07 18:38:18,-22.77764044,-45.46166179,10,3198.000,,95.510,340,16,22,,
T,2019-05-07 18:38:19,-22.77683457,-45.46197577,10,3199.000,,95.390,340,16,22,,
T,2019-05-07 18:38:20,-22.77601379,-45.46228475,10,3198.000,,95.350,340,16,22,,
T,2019-05-07 18:38:21,-22.77521388,-45.46259581,10,3199.000,,95.300,340,16,22,,
T,2019-05-07 18:38:22,-22.77440719,-45.46290770,10,3200.000,,95.220,341,16,22,,
T,2019-05-07 18:38:23,-22.77359526,-45.46321369,10,3200.000,,95.210,341,16,22,,
T,2019-05-07 18:38:24,-22.77279017,-45.46353082,11,3201.000,,95.170,340,15,22,,
T,2019-05-07 18:38:25,-22.77200131,-45.46386181,10,3200.000,,94.680,339,15,22,,
T,2019-05-07 18:38:26,-22.77120517,-45.46419977,11,3199.000,,94.750,339,15,22,,
T,2019-05-07 18:38:27,-22.77041123,-45.46456761,11,3198.000,,95.300,337,15,22,,
T,2019-05-07 18:38:28,-22.76964292,-45.46493896,11,3198.000,,94.330,337,15,22,,
T,2019-05-07 18:38:29,-22.76889081,-45.46530724,11,3197.000,,92.990,336,12,22,,
